LIBELLE_CLIENT;CODE_PRODUIT;SUPPORT;CODEISIN;LIBELLE_VALEUR;SENS;QUANTITE;QUANTITE_MNT;LIBDEV;DATE_EXEC;COURS_EXEC;TX_CONV_RGLT;MNT_BRUT_EUR;MNT_NET_EUR;CC;FRAIS_TRANSAC_TTC_EUR;COM_CIC_RL_HT
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);A;65.0;;;2020-01-16;190044.3;1.0;12352879.5;12352894.5;;;15.0
FCP HUGAU MONETERME;OBF;TCN;FR0126069782;BOLLOR NCP PRE-CPTE   20042020;A;30000000.0;30000000.0;EUR;2020-01-16;1.00039195;1.0;30011758.5;30011783.5;;25.0;25.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;A;100.0;;;2020-01-20;107033.73;1.0;10703373.0;10703388.0;;;15.0
FCP HUGAU MONETERME;OBE;OBL;XS1043535092;BCO SANT.TV14-PERP.PF SEC.CV;A;47.0;4700000.0;EUR;2020-01-21;100.735;1.0;4764268.88;4764328.88;29723.88;60.0;60.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;V;100.0;;;2020-01-22;107032.33;1.0;10703233.0;10703218.0;;;15.0
FCP HUGAU MONETERME;OBE;OBL;DE000DL19T18;DEUTSCHE BANK 0,375%18-180121;A;26.0;2600000.0;EUR;2020-01-22;100.13;1.0;2603539.84;2603923.37;159.84;383.53;35.0
FCP HUGAU MONETERME;OBE;TCN;XS2105096072;ECP FINCANTIERI 27032020;A;15000000.0;15000000.0;EUR;2020-01-22;99.99466693;1.0;14999200.04;14999255.04;;55.0;55.0
FCP HUGAU MONETERME;OBE;OBL;XS0525912449;BARCLAYS 6%10-140121 SUB.S.206;A;3500.0;3500000.0;EUR;2020-01-22;105.74;1.0;3706637.7;3707184.42;5737.7;546.72;46.33
FCP HUGAU MONETERME;OBE;OBL;XS0995040051;ANGLO AMER CAPITAL 2,875%13-20;A;1000.0;1000000.0;EUR;2020-01-22;102.3542;1.0;1028647.87;1028795.17;5105.87;147.3;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1190663952;BBVA TV15-PERP PREF.SEC.COCOS;A;36.0;7200000.0;EUR;2020-01-22;100.455;1.0;7321243.7;7321303.7;88483.7;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;XS0487711573;BANK OF IE GRP 10%10-0220 SUB.;V;10000.0;10000000.0;EUR;2020-01-23;100.446;1.0;11000764.38;10999126.27;956164.38;1638.11;60.0
FCP HUGAU MONETERME;OPF;FCP1;FR0013368065;CM-CIC MONEPLUS IC2 FCP 3DEC;V;90.0;;;2020-01-23;107031.2;1.0;9632808.0;9632793.0;;;15.0
FCP HUGAU MONETERME;OBE;OBL;XS1604200904;LEASEPLAN TV17-041120;V;7500.0;7500000.0;EUR;2020-01-22;100.267;1.0;7522151.25;7521034.94;2126.25;1116.31;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0004720436;MEDIOBANCA-BCA TV11-130621;A;100.0;100000.0;EUR;2020-01-22;105.57;1.0;106095.0;106161.67;525.0;66.67;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004960669;INTESA SANPAOLO 5%13-171020;A;13.0;1300000.0;EUR;2020-01-22;103.49;1.0;272590.4;272706.12;3516.4;115.72;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004960669;INTESA SANPAOLO 5%13-171020;A;1.0;100000.0;EUR;2020-01-23;103.45;1.0;20968.69;21013.69;278.69;45.0;35.0
FCP HUGAU MONETERME;OBE;OBL;XS0526326334;INTESA 5,15%10-160720 EMTN;A;1.0;50000.0;EUR;2020-01-23;102.25;1.0;52496.93;52547.27;1371.93;50.34;35.0
FCP HUGAU MONETERME;OBE;TCN;XS2110937815;ECP FINCANTIER 20;A;15000000.0;15000000.0;EUR;2020-01-22;99.99466693;1.0;14999200.04;14999255.04;;55.0;55.0
FCP HUGAU MONETERME;OBE;OBL;IT0004645542;MEDIOBANCA-BCA 5%10-151120;A;97.0;97000.0;EUR;2020-01-27;103.74;1.0;101621.65;101686.85;993.85;65.2;35.0
FCP HUGAU MONETERME;OBE;OBL;US40429CGD83;HSBC FINANCE 10/21;A;3387.0;3387000.0;USD;2020-01-27;104.17;1.1023;3208773.75;3209247.03;7977.32;473.28;40.1
FCP HUGAU MONETERME;OBE;OBL;XS1492457236;MYLAN 1,25%16-231120;A;1400.0;1400000.0;EUR;2020-01-28;100.97;1.0;1416831.37;1417036.89;3251.37;205.52;35.0
FCP HUGAU MONETERME;OBE;OBL;DE000DL19UQ0;DEUTSCHE BANK 1,625%19-120221;A;20.0;2000000.0;EUR;2020-01-29;101.435;1.0;2060131.51;2060433.52;31431.51;302.01;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1138358699;WALGREENS BOOTS 2,875%14-1120;A;8877.0;8877000.0;GBP;2020-01-30;101.27;0.8453;10696836.39;10698428.91;61869.04;1592.52;60.0
FCP HUGAU MONETERME;OBE;OBL;XS0526326334;INTESA 5,15%10-160720 EMTN;A;2.0;100000.0;EUR;2020-01-29;102.2;1.0;105000.14;105065.8;2800.14;65.66;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004720436;MEDIOBANCA-BCA TV11-130621;A;3500.0;3500000.0;EUR;2020-01-30;105.64;1.0;3720150.0;3720698.71;22750.0;548.71;46.5
FCP HUGAU MONETERME;OBE;OBL;XS1138358699;WALGREENS BOOTS 2,875%14-1120;A;1195.0;1195000.0;GBP;2020-01-30;101.27;0.8453;1439981.92;1440190.91;8328.66;208.99;35.0
FCP HUGAU MONETERME;OBF;OBL;FR0011560986;ORANO 3,25%13-040920 EMTN;A;20.0;2000000.0;EUR;2020-01-30;101.85;1.0;2063994.54;2064297.13;26994.54;302.59;35.0
FCP HUGAU MONETERME;OBE;OBL;DE000A0KAAA7;HT1 FUNDING 06/17UNBEFR.;A;2685.0;2685000.0;EUR;2020-01-31;100.735;1.0;2733923.16;2733983.16;29188.41;60.0;60.0
FCP HUGAU MONETERME;OBE;OBL;DE000A0KAAA7;HT1 FUNDING 06/17UNBEFR.;A;6100.0;6100000.0;EUR;2020-02-04;100.715;1.0;6210533.19;6212681.19;66918.19;2148.0;60.0
FCP HUGAU MONETERME;OBE;OBL;US31562QAC15;FIAT CHRYSL.AUTOM. 15/20;A;8409.0;8409000.0;USD;2020-02-04;100.39;1.1054;7742419.02;7743568.38;105549.92;1149.36;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0004960669;INTESA SANPAOLO 5%13-171020;A;21.0;2100000.0;EUR;2020-02-05;103.325;1.0;440448.62;440507.68;6483.62;59.06;35.0
FCP HUGAU MONETERME;OBE;OBL;IT0004720436;MEDIOBANCA-BCA TV11-130621;A;222.0;222000.0;EUR;2020-02-05;105.44995;1.0;235652.89;235758.13;1554.0;105.24;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;27.0;;;2020-02-06;190012.24;1.0;5130330.48;5130315.48;;;15.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);A;62.0;;;2020-02-07;190010.38;1.0;11780643.56;11780658.56;;;15.0
FCP HUGAU MONETERME;OBE;OBL;XS1824431313;QNB FINANCE TV18-310521;A;3380.0;3380000.0;USD;2020-02-06;101.03;1.0999;3124996.25;3125457.18;20337.65;460.93;39.06
FCP HUGAU MONETERME;OBE;OBL;XS1038646078;GAZ CAPITAL 3,6%14-260221;A;400.0;400000.0;EUR;2020-02-11;103.6957;1.0;428669.92;428727.22;13887.12;57.3;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1038646078;GAZ CAPITAL 3,6%14-260221;A;406.0;406000.0;EUR;2020-02-11;103.658;1.0;434946.91;435005.14;14095.43;58.23;35.0
FCP HUGAU MONETERME;OBF;TCN;FR0126111592;EIFFAG BMT11022022;A;10000000.0;10000000.0;EUR;2020-02-11;1.0;1.0;10000000.0;10000025.0;;25.0;25.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;25.0;;;2020-02-12;190004.26;1.0;4750106.5;4750091.5;;;15.0
FCP HUGAU MONETERME;OBE;OBL;IT0005042087;BANCA IMI TV14-051121;A;76.0;76000.0;EUR;2020-02-12;100.08947;1.0;76072.86;76130.68;4.86;57.82;35.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;7.0;;;2020-02-13;190002.83;1.0;1330019.81;1330004.81;;;15.0
FCP HUGAU MONETERME;OBE;OBL;DE000CB83CF0;COMMERZBANK 7,75%11-160321 774;A;20.0;2000000.0;EUR;2020-02-13;108.24;1.0;2307942.08;2308281.27;143142.08;339.19;35.0
FCP HUGAU MONETERME;OBE;OBL;DE000CB83CF0;COMMERZBANK 7,75%11-160321 774;A;25.0;2500000.0;EUR;2020-02-13;108.242;1.0;2884977.6;2885403.12;178927.6;425.52;36.06
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;5.0;;;2020-02-14;190001.46;1.0;950007.3;949992.3;;;15.0
FCP HUGAU MONETERME;OPF;FCP1;FR0000009987;UNION + (IC);V;27.0;;;2020-02-17;189997.06;1.0;5129920.62;5129905.62;;;15.0
FCP HUGAU MONETERME;OBE;OBL;IT0005067027;UNICREDIT TV14-160222 10;A;4.0;40000.0;EUR;2020-02-17;101.57;1.0;16253.65;16298.65;2.45;45.0;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1048568452;FIAT CHRYSLER 4,75%14-220321;A;4000.0;4000000.0;EUR;2020-02-18;105.124;1.0;4378867.1;4379512.97;173907.1;645.87;54.73
FCP HUGAU MONETERME;OBE;OBL;IT0004960669;INTESA SANPAOLO 5%13-171020;A;3.0;300000.0;EUR;2020-02-18;103.1;1.0;62892.79;62946.35;1032.79;53.56;35.0
FCP HUGAU MONETERME;OBF;OBL;FR0010941690;ORANO3.50%MAR21 EMTN;A;74.0;3700000.0;EUR;2020-02-18;103.585;1.0;3951176.42;3951225.8;118531.42;49.38;49.38
FCP HUGAU MONETERME;OBE;OBL;IT0005067027;UNICREDIT TV14-160222 10;A;300.0;3000000.0;EUR;2020-02-19;101.93;1.0;1223466.5;1223643.02;306.5;176.52;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1048568452;FIAT CHRYSLER 4,75%14-220321;A;1000.0;1000000.0;EUR;2020-02-19;105.1;1.0;1094606.56;1094763.74;43606.56;157.18;35.0
FCP HUGAU MONETERME;OBE;OBL;FR0011769090;RENAULT 3,125%14-050321 EMTN;A;857.0;857000.0;EUR;2020-02-19;103.106;1.0;909448.42;909577.84;25830.0;129.42;35.0
FCP HUGAU MONETERME;OBE;OBL;DE000CB83CF0;COMMERZBANK 7,75%11-160321 774;A;34.0;3400000.0;EUR;2020-02-18;108.225;1.0;3925151.37;3925200.43;245501.37;49.06;49.06
FCP HUGAU MONETERME;OBE;OBL;FR0011769090;RENAULT 3,125%14-050321 EMTN;A;4000.0;4000000.0;EUR;2020-02-20;103.133;1.0;4246904.7;4247531.1;121584.7;626.4;53.08
FCP HUGAU MONETERME;OBE;OBL;DE000DL19UQ0;DEUTSCHE BANK 1,625%19-120221;A;50.0;5000000.0;EUR;2020-02-21;101.45;1.0;5075385.93;5076135.23;2885.93;749.3;60.0
FCP HUGAU MONETERME;OBE;OBL;XS1048568452;FIAT CHRYSLER 4,75%14-220321;A;1865.0;1865000.0;EUR;2020-02-21;105.04;1.0;2041290.4;2041589.59;82294.4;299.19;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1821814800;FORD MOTOR CRED TV18-140521;A;5000.0;5000000.0;EUR;2020-02-21;99.64;1.0;4982025.97;4982761.27;25.97;735.3;60.0
FCP HUGAU MONETERME;OBE;OBL;IT0005067027;UNICREDIT TV14-160222 10;A;17.0;170000.0;EUR;2020-02-20;101.9;1.0;69319.79;69375.58;27.79;55.79;35.0
FCP HUGAU MONETERME;OBE;OBL;XS1202846819;GLENCORE FINANCE 1,25%15-0321;A;5000.0;5000000.0;EUR;2020-02-24;100.995;1.0;5108834.7;5109589.02;59084.7;754.32;60.0
FCP HUGAU MONETERME;OBE;OBL;XS1048568452;FIAT CHRYSLER 4,75%14-220321;A;4000.0;4000000.0;EUR;2020-02-24;104.94;1.0;4374621.86;4375267.11;177021.86;645.25;54.68
FCP HUGAU MONETERME;OBE;OBL;XS1043535092;BCO SANT.TV14-PERP.PF SEC.CV;A;50.0;5000000.0;EUR;2020-02-24;100.2;1.0;5067219.23;5067279.23;57219.23;60.0;60.0
