CODEISIN;CATV;31/12/2019;02/01/2020;03/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;18/05/2020;19/05/2020;20/05/2020;22/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;13/07/2020;15/07/2020;16/07/2020;17/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;27/07/2020;28/07/2020;SOM;;-1,04454E-05;-1,04454E-05
BE6315770030;CRNE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BE6317850467;CRNE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BQ01.CHF;TRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BQ01.EUR;TRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BQ01.GBP;TRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BQ01.USD;TRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CH0110442859;VMOB;0;1,9528E-06;2,8498E-06;0,000001223;1,4169E-06;1,6969E-06;1,2679E-06;3,6525E-06;1,0822E-06;1,2712E-06;2,5136E-06;0,000001619;3,5941E-06;1,4239E-06;8,389E-07;1,3185E-06;1,1028E-06;4,2599E-06;1,4025E-06;1,8419E-06;-2,867E-07;1,3814E-06;3,0143E-06;1,5002E-06;1,1749E-06;4,301E-07;1,0104E-06;3,6145E-06;1,2867E-06;2,3379E-06;1,5748E-06;1,6977E-06;4,2139E-06;4,764E-07;1,4908E-06;1,8226E-06;3,236E-07;0,000004063;1,2648E-06;6,209E-07;0,00000129;8,335E-07;3,7732E-06;1,1727E-06;-8,8E-09;7,344E-07;2,4109E-06;4,3155E-06;2,9864E-06;8,057E-07;4,189E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,80729E-05;;;
CH0249899110;VMOB;0;1,887E-07;4,252E-07;1,577E-07;1,619E-07;1,744E-07;1,557E-07;4,607E-07;1,475E-07;1,561E-07;0,000000219;1,733E-07;4,628E-07;1,652E-07;1,373E-07;1,608E-07;1,498E-07;4,967E-07;0,000000165;1,888E-07;7,75E-08;1,651E-07;3,414E-07;1,712E-07;1,539E-07;1,177E-07;1,447E-07;4,645E-07;1,592E-07;2,153E-07;1,751E-07;1,858E-07;5,103E-07;1,185E-07;1,707E-07;1,939E-07;1,095E-07;4,956E-07;1,573E-07;1,207E-07;1,593E-07;1,326E-07;5,454E-07;0,000000153;8,27E-08;1,236E-07;2,259E-07;5,147E-07;2,635E-07;1,328E-07;1,092E-07;2,319E-07;5,407E-07;0,000000171;8,21E-08;2,074E-07;1,842E-07;5,699E-07;2,035E-07;7,95E-08;0,000000099;5,84E-08;5,383E-07;2,816E-07;2,46E-08;1,193E-07;2,306E-07;5,972E-07;2,326E-07;1,398E-07;1,736E-07;0,000000903;1,546E-07;2,058E-07;2,507E-07;5,548E-07;1,816E-07;1,885E-07;1,373E-07;2,172E-07;0,000000528;1,536E-07;4,58E-08;2,426E-07;5,734E-07;3,427E-07;2,523E-07;1,224E-07;7,881E-07;1,938E-07;2,175E-07;1,823E-07;1,862E-07;5,707E-07;1,903E-07;-1,558E-07;3,173E-07;5,032E-07;3,638E-07;1,931E-07;0,000000111;-3,54E-08;4,657E-07;1,047E-07;-2,86E-08;-1,61E-08;4,037E-07;5,82E-08;3,833E-07;3,464E-07;3,894E-07;8,696E-07;-4,08E-08;6,21E-08;3,358E-07;4,165E-07;5,931E-07;2,764E-07;5,94E-08;1,299E-07;2,813E-07;6,997E-07;2,156E-07;-8,92E-08;4,529E-07;1,957E-07;6,735E-07;2,176E-07;7,2E-09;3,328E-07;1,537E-07;6,794E-07;2,461E-07;-2,171E-07;-1,131E-07;6,086E-07;3,485E-07;7,54E-08;1,335E-07;1,666E-07;6,384E-07;1,803E-07;-2,107E-07;3,49682E-05;;;
CH0255893049;VMOB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CH0287282476;CPON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
