CODEISIN;CATV;PERF_POS_1M;PERF_POS_3M;PERF_POS_YTD;PERF_POS_DEB;CTRB_POS_1M;CTRB_POS_3M;CTRB_POS_YTD;CTRB_POS_DEB;CTRB_PORT_1M;CTRB_PORT_3M;CTRB_PORT_YTD;CTRB_PORT_DEB;PERF_PORT_1M;PERF_PORT_3M;PERF_PORT_YTD;PERF_PORT_DEB;PNL_PORT_1M;PNL_PORT_3M;PNL_PORT_YTD;PNL_PORT_DEB;CTRB_VENTE_1M;CTRB_VENTE_3M;CTRB_VENTE_YTD;CTRB_VENTE_DEB;PNL_VENTE_1M;PNL_VENTE_3M;PNL_VENTE_YTD;PNL_VENTE_DEB;FRAIS_1M;FRAIS_3M;FRAIS_YTD;FRAIS_DEB;CTRB_FRAIS_1M;CTRB_FRAIS_3M;CTRB_FRAIS_YTD;CTRB_FRAIS_DEB;C_D
XS0496716282;VMOB;0,0000000000;0,0000000000;-0,0112910561;-0,0112910561;0,0000000000;0,0000000000;-0,0000511736;-0,0000511736;0,0000000000;0,0000000000;0,0000517237;0,0000517237;0,0000000000;0,0000000000;0,0114549206;0,0114549206;0,0000000000;0,0000000000;52635,3600000000;52635,3600000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0497187640;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0497187640;VMOB;0,0000000000;0,0000000000;-0,0130962133;-0,0130962133;0,0000000000;0,0000000000;-0,0002551329;-0,0002551329;0,0000000000;0,0000000000;0,0002857523;0,0002857523;0,0000000000;0,0000000000;0,0147404399;0,0147404399;0,0000000000;0,0000000000;286524,6700000002;286524,6700000002;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0522407351;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0522407351;VMOB;0,0000000000;-0,0034371108;;;0,0000000000;-0,0000052572;-0,0000123441;-0,0000123441;0,0000000000;0,0000066750;0,0000158561;0,0000158561;0,0000000000;0,0039344286;0,0097267786;0,0097267786;0,0000000000;5508,2000000000;13617,4900000000;13617,4900000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;210,9300000000;210,9300000000;0,0000000000;0,0000000000;0,0000002140;0,0000002140;EUR
XS0525912449;VMOB;-0,0018008495;-0,0093730271;-0,0381931347;-0,0381931347;-0,0000278966;-0,0001525690;-0,0005682953;-0,0005682953;0,0000825362;0,0002449705;0,0005915010;0,0005915010;0,0052458999;0,0149180296;0,0396775291;0,0396775291;73479,3200000001;208956,8400000001;534035,9264233797;534035,9264233797;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;1639,5900000000;1639,5900000000;0,0000000000;0,0000000000;0,0000015475;0,0000015475;EUR
XS0526326334;VMOB;0,0000000000;-0,0050761421;-0,0257025059;-0,0257025059;0,0000000000;-0,0000808161;-0,0003751618;-0,0003751618;0,0000000000;0,0001002654;0,0003990394;0,0003990394;0,0000000000;0,0061912602;0,0275792400;0,0275792400;0,0000000000;82343,7600000001;366255,1210076046;366255,1210076046;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;116,0000000000;116,0000000000;0,0000000000;0,0000000000;0,0000001072;0,0000001072;EUR
XS0544654162;CPON;;;;;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;EUR
XS0544654162;VMOB;0,0013741657;-0,0043915292;;;0,0000108704;-0,0000221636;-0,0000306605;-0,0000306605;0,0000281927;0,0000566865;0,0000793531;0,0000793531;0,0035068493;0,0099726000;0,0172048813;0,0172048813;25600,0000000000;50180,8190000000;70497,6827500000;70497,6827500000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;658,3300000000;1114,8000000000;1114,8000000000;0,0000000000;0,0000007437;0,0000012230;0,0000012230;EUR
XS0548803757;VMOB;-0,0026849642;-0,0104099857;-0,0277266117;-0,0277266117;-0,0000190383;-0,0000771864;-0,0001322477;-0,0001322477;0,0000248811;0,0000739946;0,0001351459;0,0001351459;0,0034972698;0,0099453597;0,0265573780;0,0265573780;22557,3900000000;64147,5700000000;120103,8303389994;120103,8303389994;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;776,4800000000;776,4800000000;0,0000000000;0,0000000000;0,0000007932;0,0000007932;EUR
